# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       21.223       59.754
       0.003        0.000       21.480       59.754
       0.005        0.000       21.738       59.754
       0.008        0.000       21.738       59.754
       0.010      422.800       21.984       55.301
       0.012      424.500       21.984       55.301
       0.014        0.000       21.984       55.301
       0.016        0.000       21.984       55.301
       0.019        0.000       21.984       55.301
       0.021        0.000       21.234       51.859
       0.023        0.000       21.980       59.754
       0.025      433.400       22.496       59.754
       0.028        0.000       29.055       80.598
       0.030        0.000       33.289       80.785
       0.032        0.000       33.289       80.785
       0.034      396.200       33.289       80.785
       0.036      378.900       32.789       72.895
       0.039        0.000       33.465       76.332
       0.041        0.000       33.465       76.332
       0.043        0.000       33.465       76.332
       0.046        0.000       33.465       76.332
       0.048      469.300       33.465       76.332
       0.050        0.000       32.785       72.891
       0.052        0.000       33.434       80.785
       0.054        0.000       33.898       80.805
       0.056        0.000       33.961       80.852
       0.058      450.400       33.961       80.852
       0.060      465.500       33.961       80.941
       0.062        0.000       34.359       82.887
       0.065      384.500       34.535       78.434
       0.068        0.000       34.535       78.434
       0.070      463.700       34.535       78.434
       0.072        0.000       34.535       78.434
       0.074        0.000       34.535       78.434
       0.076        0.000       34.535       78.434
       0.078      501.800       37.191       87.422
       0.080        0.000       40.801       89.422
       0.082      373.800       46.730       99.672
       0.085        0.000       51.113       99.672
       0.087        0.000       51.113       99.672
       0.089      489.100       51.113       99.672
       0.091      470.900       51.230       95.219
       0.093        0.000       51.230       95.219
       0.095        0.000       51.230       95.219
       0.097      418.000       51.230       95.219
       0.100        0.000       51.230       95.219
       0.102        0.000       50.547       91.777
       0.104        0.000       51.117       99.922
       0.106        0.000       51.117       99.922
       0.108        0.000       51.117       99.922
       0.110      414.000       51.117       99.922
       0.112      478.600       51.117       99.922
       0.115        0.000       51.117       99.922
       0.117      459.100       51.293       95.340
       0.119        0.000       51.293       95.469
       0.121        0.000       51.293       95.469
       0.123        0.000       51.293       95.469
       0.125        0.000       51.293       95.469
       0.128        0.000       51.293       95.469
       0.130      451.600       51.055       99.922
       0.132        0.000       51.055       99.922
       0.134        0.000       51.055       99.922
       0.136      410.800       47.582       96.387
       0.139        0.000       48.867       98.434
       0.141      503.000       51.961      101.508
       0.143        0.000       52.133       97.055
       0.145        0.000       52.133       97.055
       0.148      502.100       52.133       97.055
       0.149        0.000       52.133       97.055
       0.152        0.000       52.133       97.055
       0.154        0.000       51.453       93.613
       0.156        0.000       51.961      101.508
       0.158      432.800       51.961      101.508
       0.160      541.900       51.961      101.508
       0.162        0.000       52.477      101.508
       0.164        0.000       52.477      101.508
       0.166        0.000       52.477      101.508
       0.169        0.000       53.230       98.055
       0.171        0.000       53.230       98.055
       0.173        0.000       53.230       98.055
       0.176      458.200       53.230       98.055
       0.178        0.000       53.230       98.055
       0.180        0.000       52.484       94.613
       0.182        0.000       53.508      102.508
       0.184      452.800       55.312      104.465
       0.186      548.800       55.312      104.465
       0.188        0.000       55.312      104.465
       0.190        0.000       55.312      104.465
       0.192        0.000       55.570      104.465
       0.194      484.700       55.742      100.012
       0.196        0.000       55.742      100.012
       0.198      992.400       55.742      100.012
       0.200        0.000       55.742      100.012
       0.202        0.000       55.742      100.012
       0.205        0.000       54.621       99.480
       0.209        0.000       57.066      106.418
       0.212        0.000       57.066      106.418
       0.214        0.000       57.066      106.418
       0.216        0.000       57.320      106.418
       0.218      424.400       57.496      101.965
       0.221        0.000       57.496      101.965
       0.223        0.000       57.496      101.965
       0.225      370.400       57.496      101.965
       0.228        0.000       57.496      101.965
       0.230        0.000       56.812       98.523
       0.232      536.400       57.383      106.418
       0.234        0.000       57.383      106.418
       0.236      530.500       57.383      106.418
       0.238        0.000       57.383      106.418
       0.240        0.000       57.383      106.418
       0.242      950.600       57.383      106.418
       0.244        0.000       57.383      106.418
       0.246        0.000       57.559      101.965
       0.248        0.000       57.559      101.965
       0.250        0.000       57.559      101.965
       0.252        0.000       57.559      101.965
       0.255        0.000       57.559      101.965
       0.257        0.000       56.812       98.523
       0.259      476.300       57.316      106.418
       0.261        0.000       57.316      106.418
       0.264        0.000       57.574      106.418
       0.266      466.500       57.574      106.418
       0.268        0.000       57.574      106.418
       0.270      468.200       57.574      106.418
       0.272        0.000       57.074       98.527
       0.274      429.100       57.816      101.965
       0.276        0.000       57.816      101.965
       0.279        0.000       57.816      101.965
       0.281        0.000       57.816      101.965
       0.283      457.400       57.816      101.965
       0.285        0.000       57.070       98.523
       0.289      463.900       57.645      106.418
       0.291        0.000       57.645      106.418
       0.293        0.000       57.645      106.418
       0.295      492.800       57.645      106.418
       0.297      422.800       57.645      106.418
       0.300        0.000       57.590       99.527
       0.302        0.000       58.332      102.965
       0.304        0.000       58.332      102.965
       0.306        0.000       58.332      102.965
       0.309        0.000       58.332      102.965
       0.311      528.200       58.332      102.965
       0.313        0.000       57.586       99.523
       0.315        0.000       58.152      107.418
       0.317      481.800       58.152      107.418
       0.319        0.000       58.152      107.418
       0.321      477.000       58.152      107.418
       0.323        0.000       58.152      107.418
       0.326      427.300       58.328      102.965
       0.328        0.000       58.328      102.965
       0.330        0.000       58.328      102.965
       0.333        0.000       58.328      102.965
       0.335        0.000       58.328      102.965
       0.337      422.300       57.586       99.523
       0.339        0.000       46.000       95.047
       0.341      473.000       45.000       94.047
       0.343        0.000       45.000       94.047
       0.345        0.000       45.000       94.047
       0.348        0.000       45.000       94.047
       0.350        0.000       45.113       89.594
       0.352        0.000       45.113       89.594
       0.354      499.800       45.113       89.594
       0.356        0.000       45.113       89.594
       0.358      412.700       45.113       89.594
       0.361        0.000       44.434       86.152
       0.363        0.000       44.941       94.047
       0.365      444.200       43.281       92.387
       0.367        0.000       41.281       90.387
       0.369        0.000       41.281       90.387
       0.372      489.200       41.281       90.387
       0.376      186.300       41.527       85.934
       0.379        0.000       41.527       85.934
       0.381        0.000       41.527       85.934
       0.383        0.000       41.527       85.934
       0.386        0.000       41.527       85.934
       0.388      359.800       40.777       82.492
       0.391        0.000       40.418       89.449
       0.393      506.200       40.418       89.461
       0.395        0.000       40.418       89.461
       0.397      450.000       40.418       89.461
       0.399        0.000       40.742       89.371
       0.401        0.000       40.980       84.918
       0.404      510.600       40.980       84.918
       0.406        0.000       40.980       84.918
       0.408        0.000       40.980       84.918
       0.410      389.900       40.980       84.918
       0.412        0.000       40.234       81.477
       0.415        0.000       41.840       89.371
       0.417      436.000       41.840       89.371
       0.419        0.000       41.840       89.371
       0.421        0.000       41.840       97.371
       0.424        0.000       41.840       97.371
       0.426        0.000       41.840       97.371
       0.428      855.000       42.016       92.789
       0.431        0.000       42.016       92.918
       0.433      427.700       42.016       92.918
       0.435        0.000       42.016       92.918
       0.437        0.000       42.016       92.918
       0.439        0.000       42.016       92.918
       0.441        0.000       41.270       89.477
       0.444      516.600       41.844       97.434
       0.446        0.000       42.504       97.434
       0.448        0.000       42.504       97.434
       0.450      433.000       42.504       97.434
       0.452        0.000       42.504       97.434
       0.454        0.000       42.504       97.434
       0.456        0.000       42.680       92.852
       0.459      476.600       42.680       92.980
       0.461      447.100       42.680       92.980
       0.463        0.000       42.680       92.980
       0.465        0.000       42.680       92.980
       0.467        0.000       42.680       92.980
       0.469        0.000       41.930       89.539
       0.472        0.000       41.934       89.906
       0.476      266.400       42.500       97.434
       0.478      463.400       42.500       97.434
       0.480        0.000       42.500       97.438
       0.483        0.000       42.500       97.438
       0.485        0.000       43.098       97.523
       0.487        0.000       17.312       34.238
       0.489      456.900       17.312       34.367
       0.492        0.000       17.312       34.367
       0.494      409.500       17.312       34.367
       0.496        0.000       17.312       34.367
       0.499        0.000       16.570       30.926
       0.501        0.000       17.316       34.367
       0.504      435.900       17.316       34.367
       0.506        0.000       17.316       34.367
       0.509        0.000       17.316       34.367
       0.511        0.000       17.316       34.367
       0.513      495.200       16.570       30.926
       0.515        0.000       17.254       34.367
       0.517        0.000       17.254       34.367
       0.520        0.000       17.254       34.367
       0.522        0.000       17.254       34.367
       0.524        0.000       16.570       30.926
       0.527      464.400       17.320       34.367
       0.529        0.000       17.320       34.367
       0.532      457.200       17.320       34.367
       0.534        0.000       17.320       34.367
       0.541        0.000       17.320       34.367
       0.544        0.000       17.320       34.367
       0.546        0.000       17.320       34.367
       0.549      409.900       16.570       30.926
       0.551        0.000       17.254       34.367
       0.553        0.000       17.254       34.367
       0.556        0.000       17.254       34.367
       0.558        0.000       17.254       34.367
       0.560      466.400       17.254       34.367
       0.562        0.000       16.570       30.926
       0.564        0.000       17.305       34.367
       0.566      425.500       17.305       34.367
       0.569        0.000       17.305       34.367
       0.571        0.000       17.305       34.367
       0.573        0.000       17.305       34.367
       0.576        0.000       16.570       30.926
       0.578      390.600       17.250       34.367
       0.581        0.000       17.250       34.367
       0.583      432.100       17.250       34.367
       0.586        0.000       17.250       34.367
       0.588        0.000       16.570       30.926
       0.591      428.600       17.316       34.367
       0.593        0.000       17.316       34.367
       0.596        0.000       17.316       34.367
       0.598        0.000       17.316       34.367
       0.600        0.000       16.570       30.926
       0.603        0.000       17.250       34.367
       0.605        0.000       17.250       34.367
       0.607      440.400       17.250       34.367
       0.610        0.000       17.250       34.367
       0.612        0.000       17.250       34.367
       0.615        0.000       16.570       30.926
       0.621      313.100       17.250       34.238
       0.625        0.000       17.250       34.367
       0.628        0.000       17.250       34.367
       0.630        0.000       17.250       34.367
       0.633        0.000       17.250       34.367
       0.635        0.000       16.570       30.926
       0.637      433.900       17.250       34.367
       0.640        0.000       17.250       34.367
       0.642        0.000       17.250       34.367
       0.644        0.000       17.250       34.367
       0.647      405.500       17.250       34.367
       0.649      252.700       16.570       30.926
       0.653        0.000       17.316       34.367
       0.656        0.000       17.316       34.367
       0.659        0.000       17.316       34.367
       0.662      399.500       17.316       34.367
       0.664        0.000       16.570       30.926
       0.667        0.000       17.312       34.367
       0.669        0.000       17.312       34.367
       0.676      329.600       17.312       34.367
       0.680        0.000       17.312       34.367
       0.682        0.000       17.312       34.367
       0.684        0.000       16.570       30.926
       0.687      390.500       17.312       34.367
       0.689        0.000       17.312       34.367
       0.692        0.000       17.312       34.367
       0.694      398.300       17.312       34.367
       0.697        0.000       16.570       30.926
       0.699        0.000       17.316       34.367
       0.702        0.000       17.316       34.367
       0.704        0.000       17.316       34.367
       0.707        0.000       17.316       34.367
       0.709        0.000       16.570       30.926
       0.712      854.900       17.316       34.367
       0.714        0.000       17.316       34.367
       0.717        0.000       17.316       34.367
       0.719        0.000       17.316       34.367
       0.722        0.000       16.570       30.926
       0.725      350.200       17.316       34.367
       0.728        0.000       17.316       34.367
       0.731        0.000       17.316       34.367
       0.733        0.000       17.316       34.367
       0.737        0.000       16.570       30.926
       0.740      369.800       17.254       34.367
       0.742      321.700       17.254       34.367
       0.746        0.000       17.254       34.367
       0.749        0.000       17.254       34.367
       0.752        0.000       16.570       30.926
       0.755      346.800       17.250       34.367
       0.758        0.000       17.250       34.367
       0.763      288.400       17.250       34.367
       0.767        0.000       16.570       30.926
       0.770      294.300       17.316       34.367
       0.773        0.000       17.316       34.367
       0.775        0.000       17.316       34.367
       0.778        0.000       17.316       34.367
       0.781        0.000       16.570       30.926
       0.784      415.700       17.250       34.367
       0.786      358.500       17.250       34.367
       0.789        0.000       17.250       34.367
       0.791        0.000       17.250       34.367
       0.794        0.000       16.570       30.926
       0.796      397.600       17.254       34.367
       0.799        0.000       17.254       34.367
       0.801        0.000       17.254       34.367
       0.804        0.000       17.254       34.367
       0.807        0.000       16.570       30.926
       0.809      414.700       17.254       34.367
       0.812        0.000       17.254       34.367
       0.814        0.000       17.254       34.367
       0.816      323.500       17.254       34.367
       0.819        0.000       17.254       34.367
       0.822        0.000       16.570       30.926
       0.824        0.000       17.312       34.367
       0.826        0.000       17.312       34.367
       0.829        0.000       17.312       34.367
       0.832      449.700       17.312       34.367
       0.834      403.000       16.570       30.926
       0.837        0.000       17.316       34.367
       0.839        0.000       17.316       34.367
       0.842        0.000       17.316       34.367
       0.844        0.000       17.316       34.367
       0.847      419.500       16.570       30.926
       0.849        0.000       17.258       34.367
       0.852        0.000       17.258       34.367
       0.854        0.000       17.258       34.367
       0.857      385.900       17.258       34.367
       0.860        0.000       16.570       30.926
       0.865        0.000       17.312       34.367
       0.867      386.800       17.312       34.367
       0.870        0.000       17.312       34.367
       0.873        0.000       17.312       34.367
       0.875        0.000       16.570       30.926
       0.878        0.000       17.312       34.367
       0.880        0.000       17.312       34.367
       0.883      366.600       17.312       34.367
       0.885      416.900       17.312       34.367
       0.888        0.000       16.570       30.926
       0.890        0.000       17.316       34.367
       0.893        0.000       17.316       34.367
       0.895        0.000       17.316       34.367
       0.899        0.000       17.316       34.367
       0.902      382.000       16.570       30.926
