# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       20.816       50.852
       0.003        0.000       21.387       58.746
       0.005      404.000       22.676       58.746
       0.009      295.500       31.812       79.590
       0.011        0.000       32.703       76.852
       0.014      437.100       35.008       77.020
       0.016        0.000       31.199       70.883
       0.018        0.000       35.395       77.020
       0.020        0.000       35.395       77.020
       0.022      388.500       31.516       70.883
       0.024        0.000       32.547       78.777
       0.027        0.000       32.547       78.777
       0.029      464.500       31.977       71.230
       0.031        0.000       35.781       77.020
       0.033      337.400       31.973       70.902
       0.036        0.000       32.723       78.844
       0.038        0.000       35.953       77.047
       0.040      438.100       32.152       71.039
       0.043        0.000       32.770       79.508
       0.045      476.200       32.770       79.508
       0.047        0.000       33.578       83.344
       0.049      370.000       37.168       81.586
       0.052        0.000       33.848       76.449
       0.054        0.000       34.613       85.598
       0.056        0.000       35.902       85.598
       0.058        0.000       34.176       76.797
       0.060        0.000       37.980       82.586
       0.063      432.200       34.176       76.449
       0.065      412.600       35.965       84.273
       0.067        0.000       38.367       84.531
       0.070      447.900       34.609       78.395
       0.072        0.000       37.758       90.824
       0.074        0.000       42.398       93.824
       0.077      441.400       50.133      103.074
       0.079        0.000       53.629      101.316
       0.081        0.000       51.109       95.180
       0.084        0.000       51.676      103.324
       0.087        0.000       52.656      101.438
       0.089        0.000       51.109       95.430
       0.091      414.800       51.680      103.324
       0.094      376.000       54.941      101.566
       0.096        0.000       54.941      101.566
       0.099      377.100       54.941      101.566
       0.101        0.000       54.941      101.566
       0.104        0.000       51.109       95.430
       0.106        0.000       51.617      103.324
       0.108        0.000       51.617      103.324
       0.110      481.500       54.895      101.566
       0.112      388.000       51.109       95.430
       0.115        0.000       51.680      103.324
       0.117      488.900       52.719      101.309
       0.119        0.000       54.895      101.566
       0.121        0.000       51.109       95.430
       0.123        0.000       51.684      103.324
       0.125        0.000       49.676      100.836
       0.128      471.300       52.770      103.910
       0.130      452.200       56.004      102.152
       0.132        0.000       52.195       96.016
       0.134        0.000       52.762      103.910
       0.136        0.000       55.992      102.023
       0.139        0.000       52.195       96.016
       0.141        0.000       52.766      103.910
       0.144      831.100       53.281      104.910
       0.147        0.000       53.281      104.910
       0.149        0.000       54.250      102.895
       0.151        0.000       52.711       97.016
       0.153      306.800       53.219      104.910
       0.157        0.000       54.250      105.910
       0.159      879.400       55.625      106.867
       0.161        0.000       55.625      106.867
       0.163        0.000       58.875      105.109
       0.165        0.000       55.117       98.973
       0.168        0.000       55.684      106.867
       0.170      454.000       58.824      105.109
       0.173      409.300       55.117       98.973
       0.175        0.000       55.625      106.867
       0.177      445.300       57.688      108.762
       0.179        0.000       59.953      109.020
       0.181      369.900       57.273      100.926
       0.184        0.000       57.777      108.820
       0.186      400.900       57.777      108.820
       0.189        0.000       59.246      107.895
       0.191        0.000       61.664      108.062
       0.194        0.000       57.785      101.926
       0.196      423.200       58.355      109.820
       0.198      437.000       58.355      109.820
       0.201        0.000       57.789      102.273
       0.203        0.000       61.602      108.062
       0.206        0.000       57.785      101.926
       0.208        0.000       58.293      109.820
       0.210      885.600       61.574      108.062
       0.212        0.000       57.785      101.926
       0.215        0.000       58.293      109.820
       0.217        0.000       58.293      109.820
       0.220        0.000       58.293      109.820
       0.222      398.000       61.871      107.934
       0.225        0.000       58.043      101.926
       0.227      901.700       58.555      109.820
       0.230        0.000       61.750      108.062
       0.232        0.000       58.043      101.926
       0.235        0.000       58.613      109.820
       0.237      366.700       58.613      109.820
       0.240        0.000       58.613      109.820
       0.242      471.700       61.852      108.062
       0.244        0.000       58.043      101.926
       0.247        0.000       58.613      109.820
       0.249        0.000       59.648      107.805
       0.251      453.100       61.797      108.062
       0.253        0.000       58.043      101.926
       0.256      403.400       58.613      109.820
       0.258      404.000       61.852      108.062
       0.261        0.000       58.043      101.926
       0.263        0.000       59.133      110.820
       0.266        0.000       60.102      108.805
       0.268        0.000       58.559      102.926
       0.271        0.000       59.133      110.820
       0.273      747.000       62.359      109.062
       0.276        0.000       62.359      109.062
       0.278      399.500       62.359      109.062
       0.281        0.000       62.359      109.062
       0.283        0.000       58.559      102.926
       0.286        0.000       44.121       95.449
       0.288      414.100       45.082       93.523
       0.291      426.600       47.363       93.691
       0.293        0.000       43.555       87.555
       0.296      433.000       44.125       95.449
       0.298        0.000       43.559       87.559
       0.303        0.000       43.555       87.555
       0.306        0.000       44.125       95.449
       0.308      370.800       43.500       91.773
       0.311      427.800       41.895       85.895
       0.313        0.000       41.465       92.789
       0.316        0.000       41.465       92.789
       0.319        0.000       41.465       92.789
       0.321      815.600       42.590       90.910
       0.323        0.000       41.051       85.031
       0.326        0.000       41.617       92.926
       0.328      437.100       41.617       92.926
       0.331        0.000       41.617       92.926
       0.333      424.100       41.754       91.000
       0.335        0.000       44.875       91.168
       0.337        0.000       41.051       85.031
       0.340        0.000       41.055       86.051
       0.343      427.300       44.785       91.168
       0.345        0.000       41.051       85.031
       0.347        0.000       41.055       85.035
       0.350        0.000       44.848       91.168
       0.352      871.900       41.051       85.031
       0.355        0.000       41.660       92.949
       0.357        0.000       40.672       92.020
       0.360        0.000       41.523       90.105
       0.363      390.600       40.098       84.137
       0.367      636.200       40.664       92.031
       0.369        0.000       41.145       92.031
       0.372        0.000       41.539       91.941
       0.374        0.000       44.766       90.055
       0.376        0.000       40.973       84.047
       0.379        0.000       41.480       91.941
       0.381      819.900       41.480       91.941
       0.384        0.000       42.695       99.941
       0.386        0.000       45.941       98.184
       0.389        0.000       42.188       92.047
       0.392      443.700       42.945       98.016
       0.395        0.000       42.188       92.047
       0.397      383.900       42.695       99.941
       0.400        0.000       43.375      100.004
       0.402      387.000       46.676       98.246
       0.405        0.000       42.867       92.109
       0.408        0.000       42.871       92.457
       0.410        0.000       46.750       98.246
       0.413        0.000       42.867       92.109
       0.416     1086.800       43.613       98.078
       0.419        0.000       46.695       98.246
       0.422        0.000       43.473       92.109
       0.424        0.000       45.668       97.988
       0.427      437.900       44.062       92.109
       0.429      195.300       44.062       92.109
       0.435      183.500       47.898       98.246
       0.437        0.000       44.062       92.109
       0.440        0.000       47.855       98.117
       0.443      402.800       44.062       92.109
       0.446        0.000       44.570      100.004
       0.449      360.800       45.668       98.203
       0.451        0.000       44.062       92.195
       0.454        0.000       44.957      100.090
       0.456      778.100       45.191       98.164
       0.459        0.000       48.145       98.332
       0.462        0.000       44.453       92.195
       0.465      332.600       48.230       98.332
       0.468        0.000       48.230       98.332
       0.471        0.000       48.230       98.332
       0.474      248.600       48.781       98.332
       0.479      419.800       45.004       92.195
       0.483        0.000       46.617       98.203
       0.488        0.000       45.004       92.195
       0.493        0.000       48.801       98.332
       0.498      392.800       48.801       98.332
       0.502        0.000       45.004       92.195
       0.507      265.900       48.805       98.332
       0.510      298.000       45.004       92.195
       0.513      318.700       45.801      100.129
       0.516        0.000       45.801      100.129
       0.519      280.300       46.898       98.242
       0.523        0.000       45.289       92.234
       0.526        0.000       45.863      100.129
       0.529      363.700       46.895       98.113
       0.532        0.000       45.289       92.234
       0.534        0.000       45.855      100.129
       0.537      722.600       45.293       92.238
       0.540        0.000       49.094       98.371
       0.543        0.000       45.289       92.234
       0.545        0.000       46.176      100.129
       0.548      390.100       46.176      100.129
       0.551      375.000       47.125       98.203
       0.553        0.000       45.602       92.234
       0.556        0.000       46.426      100.129
       0.559        0.000       45.922       92.238
       0.562      371.700       49.707       98.371
       0.565        0.000       45.918       92.234
       0.567      332.600       46.426      100.129
       0.570        0.000       49.719       98.371
       0.573        0.000       45.918       92.234
       0.576        0.000       46.488      100.129
       0.579      720.200       47.523       98.242
       0.582        0.000       45.918       92.234
       0.585        0.000       47.527       98.242
       0.588      382.500       49.852       98.371
       0.590      344.500       50.340       98.371
       0.594      320.900       50.340       98.371
